season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2021,3,2,4,0.0,100.0,0,0,0,0,2*,0,0,0.0,0.0,0.0,,2,1,0,0,241,0,0.0,0.0,6.227078508269087,1.3335,Poor,163,90,833,150,1,0,0,13
2015,9,8,112,22.4,180.64,9,8,1,0,61*,0,1,176.0,10.35,102.0,3/20,61,1,3,20,242,0,5.409506015173317,0.14896853850842848,6.8100695466136685,4.994,Average,162,150,2955,82,10,0,18,12
2016,11,9,44,6.28,69.84,4,0,0,0,9,0,3,51.0,9.18,33.33,3/20,9,0,3,20,242,0,1.51605258002234,1.380256047962933,6.8100695466136685,3.0804,Below Average,162,150,2955,82,10,0,18,12
2017,17,16,250,35.71,156.25,11,20,0,0,35*,0,6,35.5,8.19,26.0,3/20,35,1,3,20,242,0,6.974441408100781,3.1208409187249098,6.8100695466136685,7.6429,Very Good,162,150,2955,82,10,0,18,12
2018,13,13,260,28.88,133.33,20,11,1,0,50,0,18,21.16,8.92,14.22,3/20,50,0,3,20,242,0,6.510581147469146,6.563988179426187,6.8100695466136685,8.4525,Very Good,162,150,2955,82,10,0,18,12
2019,16,15,402,44.66,191.42,28,29,1,0,91,0,14,27.85,9.17,18.21,3/20,91,0,3,20,242,0,8.240117184941031,5.209761056720973,6.8100695466136685,9.2755,Excellent,162,150,2955,82,10,0,18,12
2020,14,13,281,35.12,178.98,14,25,1,0,60*,0,0,0.0,0.0,0.0,,60,1,0,0,242,0,7.305245190171701,0.0,6.8100695466136685,6.3488,Good,162,150,2955,82,10,0,18,12
2021,12,11,127,14.11,113.39,11,5,0,0,40*,0,0,0.0,0.0,0.0,,40,1,0,0,242,0,4.315143537114135,0.0,6.8100695466136685,4.1226,Average,162,150,2955,82,10,0,18,12
2022,15,15,487,44.27,131.26,49,12,4,0,87*,2,8,27.75,7.27,22.87,17/3,87,1,17,3,242,0,7.967033550753041,4.466870902321723,6.8100695466136685,8.7417,Excellent,162,150,2955,82,10,0,18,12
2023,16,15,346,31.45,136.75,26,15,2,0,66,7,3,76.0,9.12,50.0,10/1,66,0,10,1,242,0,7.064983052340123,1.002495254643247,6.8100695466136685,6.8563,Good,162,150,2955,82,10,0,18,12
2024,14,13,216,18.0,143.04,17,11,0,0,46,4,11,35.18,10.75,19.63,31/3,46,0,31,3,242,0,5.692570796712543,3.7997900881335167,6.8100695466136685,6.8326,Good,162,150,2955,82,10,0,18,12
2025,15,12,224,24.89,163.5,18,12,0,0,48*,3,14,24.42,9.77,15.0,36/5,48,1,36,5,242,0,6.379753832853422,5.3710142565145516,6.8100695466136685,8.3688,Very Good,162,150,2955,82,10,0,18,12
2026,10,10,206,22.89,138.25,21,7,0,0,40,2,4,64.75,11.42,34.0,18/1,40,0,18,1,242,0,5.912964167262781,1.2052762253682787,6.8100695466136685,5.8504,Good,162,150,2955,82,10,0,18,12
2019,6,3,3,1.5,42.85,0,0,0,0,2*,0,7,31.71,9.65,19.71,2/39,2,1,2,39,243,0,0.026936381276433212,3.317458664036347,7.151699256297347,3.0125,Below Average,6,3,3,7,0,0,0,1
2012,7,2,15,15.0,214.28,3,0,0,0,14,0,6,28.0,8.68,19.33,3/24,14,0,3,24,245,0,2.4843813620097652,3.466975192746426,3.7218860701942975,2.9799,Below Average,10,3,18,11,0,0,0,2
2013,3,1,3,3.0,75.0,0,0,0,0,3,0,5,17.4,7.67,13.6,3/24,3,0,3,24,245,0,0.09212392260436969,4.34116538658856,3.7218860701942975,2.0112,Poor,10,3,18,11,0,0,0,2
2023,3,3,76,25.33,128.81,8,3,0,0,41,1,0,0.0,0.0,0.0,,41,0,0,0,246,0,4.584029757434116,0.0,4.341850725119249,3.291,Below Average,5,5,103,0,0,0,1,2
2024,2,2,27,13.5,79.41,2,0,0,0,14,0,0,0.0,0.0,0.0,,14,0,0,0,246,0,1.9174737017364951,0.0,4.341850725119249,2.1637,Poor,5,5,103,0,0,0,1,2
2019,2,1,20,0.0,166.66,2,1,0,0,20*,0,0,0.0,0.0,0.0,,20,1,0,0,247,0,0.0,0.0,4.960909059134364,0.9521,Poor,50,27,249,37,0,0,13,7
2021,7,5,64,0.0,110.34,3,2,0,0,25*,0,5,27.8,6.04,27.6,3/19,25,1,3,19,247,0,0.0,3.848652726391535,4.960909059134364,2.2012,Poor,50,27,249,37,0,0,13,7
2022,5,3,22,7.33,88.0,1,2,0,0,14,3,4,36.5,9.12,24.0,26/3,14,0,26,3,247,0,1.2458982441947744,2.1998408988583797,4.960909059134364,2.4989,Poor,50,27,249,37,0,0,13,7
2023,13,8,52,8.67,126.82,5,2,0,0,17*,2,9,24.22,8.02,18.11,30/4,17,1,30,4,247,0,2.686345291065307,4.818639403243475,4.960909059134364,4.0132,Average,50,27,249,37,0,0,13,7
2024,13,7,75,37.5,138.88,8,2,0,0,29,7,7,43.28,7.97,32.57,13/2,29,0,13,2,247,0,5.204759742643078,3.0894253181231783,4.960909059134364,5.0733,Average,50,27,249,37,0,0,13,7
