season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier
2008,6,6,95,19.0,96.93,5,1,0,0,26*,0,0,0.0,0.0,0.0,,26,1,0,0,1,0
2010,7,7,111,15.85,93.27,7,0,0,0,45,0,0,0.0,0.0,0.0,,45,0,0,0,1,0
2011,16,13,312,34.66,128.39,21,14,2,0,65,0,0,0.0,0.0,0.0,,65,0,0,0,1,0
2012,16,13,319,39.87,161.11,26,15,3,0,64*,0,0,0.0,0.0,0.0,,64,1,0,0,1,0
2013,14,14,360,36.0,164.38,34,15,2,0,64,0,0,0.0,0.0,0.0,,64,0,0,0,1,0
2014,14,13,395,35.9,158.63,26,24,3,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0
2015,16,14,513,46.63,175.08,60,22,2,1,133*,0,0,0.0,0.0,0.0,,133,1,0,0,1,0
2016,16,16,687,52.84,168.79,57,37,6,1,129*,0,0,0.0,0.0,0.0,,129,1,0,0,1,0
2017,9,9,216,27.0,132.51,12,16,1,0,89*,0,0,0.0,0.0,0.0,,89,1,0,0,1,0
2018,12,11,480,53.33,174.54,39,30,6,0,90*,0,0,0.0,0.0,0.0,,90,1,0,0,1,0
2019,13,13,442,44.2,154.0,31,26,5,0,82*,0,0,0.0,0.0,0.0,,82,1,0,0,1,0
2020,15,14,454,45.4,158.74,33,23,5,0,73*,0,0,0.0,0.0,0.0,,73,1,0,0,1,0
2021,15,14,313,31.3,148.34,23,16,2,0,76*,0,0,0.0,0.0,0.0,,76,1,0,0,1,0
2026,11,1,2,0.0,66.66,0,0,0,0,2*,1,15,25.93,10.01,15.53,17/2,2,1,17,2,2,0
2008,5,5,42,8.4,80.76,5,0,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,3,0
2009,2,1,11,11.0,57.89,2,0,0,0,11,0,0,0.0,0.0,0.0,,11,0,0,0,3,0
2010,1,1,21,21.0,100.0,0,1,0,0,21,0,0,0.0,0.0,0.0,,21,0,0,0,4,0
2011,6,6,47,7.83,102.17,3,3,0,0,25,0,0,0.0,0.0,0.0,,25,0,0,0,4,0
2012,2,2,55,27.5,107.84,8,0,0,0,30,0,0,0.0,0.0,0.0,,30,0,0,0,4,0
2013,14,14,456,32.57,135.71,54,16,4,0,67,0,1,49.0,12.25,24.0,1/11,67,0,1,11,4,0
2014,13,13,309,28.09,117.49,31,9,2,0,88*,0,0,0.0,0.0,0.0,,88,1,0,0,4,0
2015,3,3,23,11.5,69.69,4,0,0,0,10*,0,0,0.0,0.0,0.0,,10,1,0,0,4,0
2016,13,12,393,39.3,131.43,45,11,5,0,74,0,0,0.0,0.0,0.0,,74,0,0,0,4,0
2017,13,13,299,24.91,166.11,25,19,2,0,72,0,0,0.0,0.0,0.0,,72,0,0,0,4,0
2018,10,9,134,16.75,134.0,6,8,0,0,46,0,0,0.0,0.0,0.0,,46,0,0,0,4,0
2020,12,12,268,22.33,111.2,28,8,1,0,52,0,0,0.0,0.0,0.0,,52,0,0,0,4,0
2022,5,5,86,17.2,140.98,10,3,1,0,58,1,0,0.0,0.0,0.0,,58,0,0,0,4,0
2011,0,0,0,0.0,0.0,0,0,0,0,0,0,3,22.0,8.25,16.0,2/40,0,0,2,40,5,1
2023,1,1,1,0.0,100.0,0,0,0,0,1*,0,0,0.0,0.0,0.0,,1,1,0,0,6,0
2020,12,8,111,22.2,170.76,8,6,0,0,33,0,1,96.0,13.71,42.0,1/41,33,0,1,41,7,0
2021,11,10,111,12.33,127.58,4,8,0,0,28,0,0,0.0,0.0,0.0,,28,0,0,0,7,0
2022,2,2,4,2.0,57.14,0,0,0,0,4,1,0,0.0,0.0,0.0,,4,0,0,0,7,0
2023,9,8,169,42.25,132.03,10,11,0,0,37*,4,0,0.0,0.0,0.0,,37,1,0,0,7,0
2024,16,12,182,18.2,168.51,15,11,0,0,37*,9,0,0.0,0.0,0.0,,37,1,0,0,7,0
2025,13,12,164,20.5,176.34,8,14,0,0,45,4,0,0.0,0.0,0.0,,45,0,0,0,7,0
2026,8,8,116,19.33,131.81,10,5,0,0,37*,2,0,0.0,0.0,0.0,,37,1,0,0,7,0
2008,1,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,8,0
2022,1,1,4,4.0,50.0,1,0,0,0,4,0,0,0.0,0.0,0.0,,4,0,0,0,9,0
2010,1,1,5,5.0,125.0,1,0,0,0,5,0,1,39.0,13.0,18.0,2/37,5,0,2,37,10,0
2011,12,6,27,9.0,135.0,3,1,0,0,11,0,5,64.2,9.44,40.8,2/37,11,0,2,37,10,0
2013,1,1,2,2.0,100.0,0,0,0,0,2,0,1,37.0,9.25,24.0,2/37,2,0,2,37,10,0
2026,0,0,0,0.0,0.0,0,0,0,0,0,0,3,40.66,12.62,19.33,30/2,0,0,30,2,11,1
2022,8,7,108,18.0,144.0,14,3,0,0,43,4,0,0.0,0.0,0.0,,43,0,0,0,12,0
2023,9,6,114,19.0,137.34,6,7,0,0,42,4,0,0.0,0.0,0.0,,42,0,0,0,12,0
2024,2,2,9,4.5,56.25,1,0,0,0,8,2,0,0.0,0.0,0.0,,8,0,0,0,12,0
2025,8,5,61,12.2,100.0,2,4,0,0,43,7,0,0.0,0.0,0.0,,43,0,0,0,12,0
2008,2,1,0,0.0,0.0,0,0,0,0,0*,0,0,0.0,0.0,0.0,,0,1,0,0,13,0
2013,1,1,19,19.0,90.47,1,0,0,0,19,0,0,0.0,0.0,0.0,,19,0,0,0,13,0
2010,13,11,183,20.33,110.24,16,4,1,0,53*,0,0,0.0,0.0,0.0,,53,1,0,0,14,0
2011,3,2,10,5.0,55.55,2,0,0,0,10,0,0,0.0,0.0,0.0,,10,0,0,0,14,0
2012,5,3,24,12.0,92.3,1,1,0,0,19,0,1,38.0,6.33,36.0,1/13,19,0,1,13,14,0
2008,14,10,206,25.75,149.27,16,9,0,0,45*,0,1,68.0,9.71,42.0,3/13,45,1,3,13,15,0
2009,13,11,193,21.44,126.97,14,7,0,0,35,0,4,21.0,7.0,18.0,3/13,35,0,3,13,15,0
2010,3,3,58,29.0,113.72,4,2,0,0,27,0,0,0.0,0.0,0.0,,27,0,0,0,15,0
2011,10,9,61,8.71,91.04,9,0,0,0,17*,0,2,47.5,9.34,30.5,3/13,17,1,3,13,15,0
2012,4,4,45,15.0,91.83,2,1,0,0,24,0,0,0.0,0.0,0.0,,24,0,0,0,15,0
2013,11,9,66,11.0,90.41,5,0,0,0,25*,0,2,29.5,7.37,24.0,3/13,25,1,3,13,15,0
2014,5,4,43,14.33,91.48,5,1,0,0,23,0,0,0.0,0.0,0.0,,23,0,0,0,15,0
2009,9,7,78,19.5,127.86,5,3,0,0,36*,0,0,0.0,0.0,0.0,,36,1,0,0,16,0
2010,6,5,56,28.0,116.66,3,3,0,0,32*,0,0,0.0,0.0,0.0,,32,1,0,0,16,0
2011,7,4,60,20.0,103.44,5,1,0,0,25,0,0,0.0,0.0,0.0,,25,0,0,0,16,0
2018,3,3,63,63.0,190.9,3,5,0,0,46*,0,0,0.0,0.0,0.0,,46,1,0,0,17,0
2019,3,3,9,4.5,100.0,1,0,0,0,5*,0,1,21.0,10.5,12.0,2/4,5,1,2,4,17,0
2020,8,7,71,14.2,126.78,6,3,0,0,31,0,2,45.5,9.1,30.0,2/4,31,0,2,4,17,0
2021,8,7,98,16.33,130.66,7,4,0,0,33,0,4,16.0,6.4,15.0,2/4,33,0,2,4,17,0
2022,14,14,426,30.43,133.12,47,13,2,0,75,1,0,0.0,0.0,0.0,,75,0,0,0,17,0
2023,11,11,226,20.55,143.94,28,6,2,0,67,4,2,62.0,10.33,36.0,26/1,67,0,26,1,17,0
2024,16,16,484,32.27,204.21,36,42,3,0,75*,7,2,25.5,7.28,21.0,24/2,75,1,24,2,17,0
2025,14,13,439,33.77,193.39,46,28,2,1,141,8,0,0.0,0.0,0.0,,141,0,0,0,17,0
2026,15,15,563,40.21,204.72,50,43,4,1,135*,10,0,0.0,0.0,0.0,,135,1,0,0,17,0
2023,4,4,33,8.25,106.45,1,2,0,0,20,4,0,0.0,0.0,0.0,,20,0,0,0,18,0
2024,14,12,327,32.7,159.51,36,13,2,0,65,2,0,0.0,0.0,0.0,,65,0,0,0,18,0
2025,13,13,301,25.08,146.82,28,12,1,0,51,3,0,0.0,0.0,0.0,,51,0,0,0,18,0
2026,4,4,108,27.0,122.72,15,1,1,0,51,0,0,0.0,0.0,0.0,,51,0,0,0,18,0
2013,0,0,0,0.0,0.0,0,0,0,0,0,0,3,15.0,6.42,14.0,2/27,0,0,2,27,19,1
2014,4,1,4,0.0,400.0,1,0,0,0,4*,0,3,37.66,7.88,28.66,2/27,4,1,2,27,19,1
2015,3,3,10,10.0,200.0,2,0,0,0,5*,0,1,128.0,10.66,72.0,2/27,5,1,2,27,19,0
2008,14,14,436,33.53,137.1,51,19,3,1,109*,0,0,0.0,0.0,0.0,,109,1,0,0,20,0
2009,16,16,495,30.93,152.3,54,29,3,0,85,0,0,0.0,0.0,0.0,,85,0,0,0,20,0
2010,16,16,289,18.06,156.21,31,16,1,0,54,0,0,0.0,0.0,0.0,,54,0,0,0,20,0
2011,14,14,383,27.35,129.83,41,18,2,1,106,0,0,0.0,0.0,0.0,,106,0,0,0,20,0
2012,7,7,172,34.4,120.27,21,4,1,0,64*,0,0,0.0,0.0,0.0,,64,1,0,0,20,0
2013,13,13,294,24.5,128.38,41,6,1,0,85*,0,0,0.0,0.0,0.0,,85,1,0,0,20,0
2016,0,0,0,0.0,0.0,0,0,0,0,0,0,1,43.0,10.75,24.0,2/21,0,0,2,21,21,1
2017,4,3,7,3.5,58.33,0,0,0,0,5,0,3,44.66,9.57,28.0,2/21,5,0,2,21,21,0
2021,4,3,16,8.0,94.11,0,1,0,0,15,0,3,43.66,9.35,28.0,2/21,15,0,2,21,21,0
2026,1,1,2,0.0,100.0,0,0,0,0,2*,0,0,0.0,0.0,0.0,,2,1,0,0,21,0
2010,9,7,181,45.25,126.57,15,3,0,0,45*,0,0,0.0,0.0,0.0,,45,1,0,0,22,0
